All,Semua
"Product(s) %1 have required options. Each product can only be added individually.","Produk %1 memiliki opsi yang diperlukan. Setiap produk hanya dapat ditambahkan satu per satu."
"%1 product(s) have been added to shopping cart: %2.","%1 produk telah ditambahkan ke keranjang belanja: %2."
"Please reenter your search options.","Silakan masukkan kembali pilihan pencarian Anda."
"We could not perform the search.","Kami tidak bisa melakukan pencarian."
"Owner Name","Nama pemilik"
"Owner Email","Pemilik email"
"%1's Wish List","Daftar Keinginan %1"
"%1's Wish List (%2)","%1 's Wish List (%2)"
"Sign in to edit wish lists.","Masuk untuk mengedit daftar keinginan."
"The wish list is not assigned to your account and can't be edited.","Daftar keinginan tidak ditugaskan ke akun Anda dan tidak dapat diedit."
"Provide the wish list name.","Berikan nama daftar keinginan."
"Only %1 wish list(s) can be created.","Hanya daftar keinginan %1 yang bisa dibuat."
"Wish list ""%1"" already exists.","Daftar keinginan ""%1"" sudah ada."
"Unknown Magento error","Kesalahan Magento tidak diketahui"
"All Wish Lists","Semua Daftar Keinginan"
"Add To Order","Menambahkan Sampai Memasang"
"Configure and Add to Order","Konfigurasikan dan Tambahkan ke Pesan"
"No items","Tidak ada barang"
"Delete Wish List","Hapus Daftar Keinginan"
"Wish List Items","Daftar keinginan item"
"You must select items to add to the cart.","Anda harus memilih item untuk ditambahkan ke keranjang."
"Add to:",Tambahkan:
"Create New Wish List","Buat Daftar Keinginan Baru"
"Copy to Wish List","Salin ke Daftar Keinginan"
"Wish List Name","Nama daftar keinginan"
"Create Wish List","Buat Daftar Keinginan"
"Edit Wish List","Edit Daftar Keinginan"
"Public Wish List","Daftar Keinginan Publik"
"Private Wish List","Daftar Keinginan Pribadi"
"Move Selected to Wish List","Pindah Dipilih ke Wish List"
"Copy Selected to Wish List","Salin Dipilih ke Wish List"
"We can't create the Wish List right now.","Kami tidak dapat membuat daftar keinginan anda sekarang juga."
"Please select items to move.","Silakan pilih item yang akan dipindahkan."
"Please select items to copy.","Silakan pilih item yang akan disalin."
"Are you sure you want to delete your wish list? This action can't be undone.","Yakin ingin menghapus daftar keinginan? Tindakan ini tidak dapat dibatalkan."
"Wish Lists","Daftar Keinginan"
"Enable Multiple Wish Lists","Aktifkan Multiple Wish Lists"
"Number of Multiple Wish Lists","Jumlah Beberapa Daftar Keinginan"
"The number of multiple wish lists should be equal to or more than 2.","Jumlah daftar keinginan ganda harus sama dengan atau lebih dari 2."
"Display Wish Lists Summary","Tampilkan Ringkasan Daftar Keinginan"
"Wish List Search Description","Daftar keinginan pencarian"
"Wish List Search Template","Template Template Daftar Keinginan"
"Wish List Quantity","Ingin Daftar Kuantitas"
"Store Quantity","Jumlah toko"
"Surplus / Deficit","Kelebihan / Defisit"
"Product Info","Info produk"
"Ship to Multiple Addresses","Mengirimkan ke beberapa alamat"
"Billing Information - %1","Informasi Penagihan - %1"
"Review Order - %1","Ulas Pesanan -%1"
"Total for this address","Total untuk alamat ini"
"Shipping Methods","Metode pengiriman"
"Edit Billing Address","Edit alamat penagihan"
"Edit Shipping Address","Edit alamat pengiriman"
"Create Billing Address","Buat Alamat Penagihan"
"Create Shipping Address","Buat Alamat Pengiriman"
"Data saving problem","Masalah penghematan data"
"We are unable to process your request. Please, try again later.","Kami tidak dapat memproses permintaan Anda. Silakan, coba lagi nanti."
"Maximum qty allowed for Shipping to multiple addresses is %1","Maksimum qty yang diizinkan untuk Pengiriman ke beberapa alamat adalah %1"
"We cannot open the overview page.","Kami tidak dapat membuka halaman ikhtisar."
"Please agree to all Terms and Conditions before placing the order.","Setujui semua Persyaratan dan Ketentuan sebelum melakukan pemesanan."
"Order place error","Kesalahan pemesanan"
"Select Addresses","Pilih Alamat"
"Shipping Information","Pengiriman Informasi"
"Billing Information","Informasi tagihan"
"Default Shipping","Pengiriman Default"
"Select Address","Pilih Alamat"
"Back to Billing Information","Kembali ke Informasi Penagihan"
"Please select a shipping address for applicable items.","Silakan pilih alamat pengiriman untuk item yang berlaku."
"Send To","Kirim ke"
"A shipping selection is not applicable.","Pilihan pengiriman tidak berlaku."
"Go to Shipping Information","Pergi ke Informasi Pengiriman"
"Enter a New Address","Masukkan Alamat Baru"
"Back to Shopping Cart","Kembali ke Keranjang Belanja"
"Go to Review Your Order","Pergi ke Review Your Order"
"Back to Shipping Information","Kembali ke Informasi Pengiriman"
"Other items in your order","Item lainnya sesuai pesanan anda"
"Edit Items","Edit item"
"Shipping is not applicable.","Pengiriman tidak berlaku."
"Check Out with Multiple Addresses","Check Out dengan Multiple Addresses"
"Shipping To","Dikirim ke"
"Order Review","Ulasan pesanan"
"Grand Total:","Total keseluruhan:"
"Submitting order information...","Mengirimkan informasi pesanan..."
"Ship to:","Kirim ke:"
Error:,Kesalahan:
"Address %1 <span>of %2</span>","Alamat %1 <span> dari %2</span>"
"Sorry, no quotes are available for this order right now.","Maaf, tidak ada penawaran yang tersedia untuk pesanan ini sekarang juga."
"Continue to Billing Information","Lanjutkan ke Informasi Penagihan"
"Back to Select Addresses","Kembali ke Pilih Alamat"
"We can't complete your order because you don't have a payment method set up.","Kami tidak dapat menyelesaikan pesanan Anda karena Anda tidak menyiapkan metode pembayaran."
"Multishipping Settings Section","Bagian Pengaturan Multishipping"
"Multishipping Settings","Pengaturan Multishipping"
"Allow Shipping to Multiple Addresses","Izinkan Pengiriman ke Beberapa Alamat"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksimum Qty Diizinkan untuk Pengiriman ke Beberapa Alamat"
"Review Order","Ulas pesanan"
"Select Shipping Method","Pilih metode pengiriman"
"MySQL Message Queue Cleanup","Pembersihan Antrian Pesan MySQL"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Semua waktu dalam beberapa menit. Gunakan ""0"" jika Anda ingin melewatkan izin otomatis."
"Retry Messages In Progress After","Coba Lagi Pesan Sedang Berjalan Setelah"
"Successful Messages Lifetime","Pesan Sukses Seumur Hidup"
"Failed Messages Lifetime","Gagal Pesan Seumur Hidup"
"New Messages Lifetime","Pesan Baru Seumur Hidup"
"Subtotal (Incl. Tax)","Subtotal (Termasuk Pajak)"
"Subtotal (Excl. Tax)","Subtotal (Tidak Termasuk Pajak)"
"Shipping & Handling","Pengiriman & Penanganan"
"Cannot save comment:\n%1","Tidak dapat menyimpan komentar:\n%1"
Declined,Ditolak
Comments,Komentar
Expires,Kadaluarsa
Cost,Biaya
"Click to change shipping method","Klik untuk mengubah metode pengiriman"
"Get shipping methods and rates","Dapatkan pengiriman metode dan tingkat"
Created:,Dibuat:
"No shipping information available","Tidak ada informasi pengiriman yang tersedia"
"Thank you,","Terima kasih,"
"Cancel coupon","Batalkan kupon"
"No ordered items","Tidak ada barang pesanan"
"Go to Checkout","Buka Pemeriksaan"
"Minimum Amount","Jumlah Minimum"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Pesan ini akan ditampilkan di keranjang belanja bila subtotal (setelah diskon) lebih rendah dari jumlah minimum yang diijinkan."
"No New Relic Application ID configured, cannot continue with Cron Event reporting","Tidak ada ID Aplikasi New Relic yang dikonfigurasi, tidak dapat melanjutkan pelaporan Cron Event"
"New Relic Reporting Section","Bagian Pelaporan New Relic"
"New Relic Reporting","Pelaporan New Relic"
"Enable New Relic Integration","Aktifkan Integrasi New Relic"
"New Relic API URL","URL API Relic Baru"
"Insights API URL","URL API Wawasan"
"New Relic Account ID","ID Akun New Relic"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Perlu akun Relic Baru? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Klik di sini untuk mendapatkan satu"
"New Relic Application ID","ID Aplikasi New Relic"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Ini biasanya dapat ditemukan di akhir URL saat melihat APM setelah ""/aplikasi/"""
"New Relic API Key","Kunci API Relic Baru"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Ini terletak dengan menavigasi ke Events -> Deployments dari situs APM New Relic"
"Insights API Key","Wawasan Kunci API"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Dihasilkan di bawah Wawasan dalam Mengelola data -> Tombol API -> Sisipkan Tombol"
"New Relic Application Name","Nama Aplikasi New Relic"
"This is located by navigating to Settings from the New Relic APM website","Ini terletak dengan menavigasi ke Settings dari situs APM New Relic"
"Send Adminhtml and Frontend as Separate Apps","Kirim Adminhtml dan Frontend sebagai Aplikasi Terpisah"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.","Selain untuk aplikasi utama (yang mencakup semua eksekusi PHP), aplikasi terpisah untuk adminhtml dan frontend akan dibuat. Nama aplikasi baru harus ditetapkan."
"Enable Cron","Aktifkan Cron"
"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Unsubscribe Selected","Memilih Berhenti berlangganan"
"Save Newsletter","Simpan Newsletter"
"Save and Resume","Simpan dan Lanjutkan"
"View Newsletter","Lihat Newsletter"
"Queue Information","Antrian informasi"
"Queue Date Start","Antrian tanggal mulai"
"Subscribers From","Pelanggan dari"
"Newsletter Styles","Gaya Newsletter"
Pause,Jeda
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
Resume,Lanjutkan
"Return HTML Version","Kembali Versi HTML"
"Save As","Simpan Sebagai"
"New Newsletter Template","Template Baru Newsletter"
"Queue Newsletter","Antrian Newsletter"
"We unsubscribed the people you identified.","Kami berhenti berlangganan orang yang anda identifikasi."
"The problems you identified have been deleted.","Masalah yang anda identifikasi telah dihapus."
"Newsletter Problems Report","Laporan Masalah Newsletter"
"Newsletter Problem Reports","Laporan Masalah Newsletter"
"Edit Queue","Edit Antrian"
"Please correct the newsletter template and try again.","Perbaiki template newsletter dan coba lagi."
"You saved the newsletter queue.","Anda menyimpan buletin newsletter."
Subscribers,Pelanggan
"Please select one or more subscribers.","Pilih satu atau lebih pelanggan."
"Total of %1 record(s) were deleted.","Total dari %1 record(s) telah dihapus."
"The newsletter template has been deleted.","Newsletter template telah dihapus."
"We can't delete this template right now.","Kami tidak dapat menghapus template ini sekarang juga."
"Create Newsletter Template","Membuat Newsletter Template"
"The newsletter template has been saved.","Newsletter template telah disimpan."
"Something went wrong while saving this template.","Sesuatu yang tidak beres sambil menyimpan template ini."
"Something went wrong while saving your subscription.","Sesuatu yang tidak beres sambil menyimpan langganan Anda."
"Your subscription has been confirmed.","Langganan Anda telah dikonfirmasi."
"This is an invalid subscription confirmation code.","Ini adalah kode konfirmasi langganan tidak valid."
"This is an invalid subscription ID.","Ini adalah ID langganan yang tidak valid."
"This email address is already assigned to another user.","Alamat email ini sudah ditetapkan ke pengguna lain."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Maaf, tapi administrator menolak berlangganan untuk tamu. Silakan <a href=""%1""> mendaftar</a>."
"This email address is already subscribed.","Alamat email ini sudah berlangganan."
"Something went wrong with the subscription.","Sesuatu yang tidak beres dengan berlangganan."
"Thank you for your subscription.","Terima kasih untuk berlangganan."
"You unsubscribed.","Anda berhenti berlangganan."
"Something went wrong while unsubscribing you.","Sesuatu yang tidak beres sementara berhenti berlangganan Anda."
Cancelled,Dibatalkan
"There are no subscribers selected.","Ada ada pelanggan yang dipilih."
"You selected an invalid queue.","Anda memilih antrian tidak valid."
"We cannot mark as received subscriber.","Kami tidak dapat menandai sebagai diterima pelanggan."
"Duplicate template code","Kode template duplikat"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ikuti link ini untuk berhenti berlangganan <!--tag Ini adalah untuk link unsubscribe--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Pilih Lihat toko:"
"Newsletter Message Preview","Pratinjau Pesan Newsletter"
"Add to Queue","Tambahkan ke antrian"
"Are you sure that you want to strip all tags?","Apakah Anda yakin ingin menghapus semua tag?"
"Please enter a new template name.","Silakan masukkan nama template baru."
" Copy"," Salinan"
"Sign Up for Our Newsletter:","Mendaftar untuk Newsletter kami:"
"Enter your email address","Masukkan alamat email Anda"
Subscribe,Berlangganan
"Newsletter subscription confirmation","Konfirmasi berlangganan newsletter"
"Thank you for subscribing to our newsletter.","Terima kasih untuk berlangganan newsletter kami."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Untuk mulai menerima newsletter, Anda harus terlebih dahulu mengonfirmasi langganan Anda dengan mengeklik tautan berikut:"
"Newsletter subscription success","Berlangganan newsletter berhasil"
"You have been successfully subscribed to our newsletter.","Anda telah berhasil berlangganan newsletter kami."
"Newsletter unsubscription success","Sukses berhenti berlangganan newsletter"
"You have been unsubscribed from the newsletter.","Anda telah berhenti berlangganan newsletter."
"Newsletter Section","Bagian newsletter"
"Subscription Options","Pilihan Berlangganan"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"Need to Confirm","Perlu untuk Konfirmasi"
"Confirmation Email Sender","Konfirmasi Email Pengirim"
"Confirmation Email Template","Konfirmasi Email Template"
"Success Email Sender","Email Pengirim Sukses"
"Success Email Template","Template Email Sukses"
"Unsubscription Email Sender","Pengirim Email tidak Berlangganan"
"Unsubscription Email Template","Template Email yang Tidak Berlangganan"
"We found no problems.","Kami tidak menemukan masalah."
Subscriber,Pelanggan
"Queue Start Date","Tanggal Mulai Antrian"
"Queue Subject","Antrian Subjek"
"Error Code","Kode Kesalahan"
"Error Text","Teks Kesalahan"
"Queue Start","Antrian Mulai"
"Queue End","Antrian Akhir"
Processed,Diproses
Recipients,Penerima
Unsubscribe,"Berhenti berlangganan"
"Customer First Name","Nama depan pelanggan"
"Customer Last Name","Nama belakang pelanggan"
"Not Activated","Tidak Diaktifkan"
Subscribed,Berlangganan
Unsubscribed,"Berhenti Berlangganan"
Unconfirmed,"Belum dikonfirmasi"
"Newsletter Subscriptions","Berlangganan Newsletter"
"Purchase order number is a required field.","Nomor PO wajib diisi."
"Make Check payable to:","Lakukan pembayaran cek ke:"
"Send Check to:","Kirim Cek ke:"
"Purchase Order Number","Nomor pesanan pembelian"
"Make Check payable to: %1","Lakukan Pembayaran ke: %1"
"Purchase Order Number: %1","Nomor Pesanan Pembelian: %1"
"Make Check payable to","Lakukan Pembayaran ke"
"Send Check to","Kirim Periksa ke"
"Check / Money Order","Cek / Money Order"
"Make Check Payable to","Jadikan Hutang Cek"
"Purchase Order","Pesanan pembelian"
"Bank Transfer Payment","Pembayaran Transfer Bank"
Instructions,Instruksi
"Shipping Price","Harga Pengiriman"
"Export CSV","Ekspor CSV"
"Weight vs. Destination","Berat vs. Tujuan"
"Price vs. Destination","Harga vs. Tujuan"
"# of Items vs. Destination","# Item vs. Tujuan"
"Weight (and above)","Berat (dan di atas)"
"Order Subtotal (and above)","Order Subtotal (dan di atas)"
"# of Items (and above)","# Item (dan yang lebih baru)"
"Per Order","Sesuai pesanan"
"Per Item","Per item"
"Unable to import data","Tidak dapat mengimpor data"
"Something went wrong while importing table rates.","Ada yang tidak beres saat mengimpor tarif tabel."
"We couldn't import this file because of these errors: %1","Kami tidak dapat mengimpor file ini karena terjadi kesalahani: %1"
"Requested column ""%1"" cannot be resolved","Kolom yang diminta ""%1"" tidak dapat dipecahkan"
"Column ""%1"" not found","Kolom ""%1"" tidak ditemukan"
"Please correct %1 ""%2"" in the Row #%3.","Silakan perbaiki %1 ""%2"" di Baris #%3."
"Duplicate Row #%1 (duplicates row #%2)","Baris duplikat #%1 (baris duplikat #%2)"
"For matching items only","Untuk item yang cocok saja"
"For shipment with matching items","Untuk pengiriman dengan item yang sesuai"
"Method Name","Nama metode"
"Table Rates","Tarif Tabel"
"Include Virtual Products in Price Calculation","Sertakan Produk Virtual dalam Perhitungan Harga"
"Free Shipping","Bebas biaya kirim"
"Minimum Order Amount","Jumlah pesanan minimum"
"Export VCL for Varnish %1","Ekspor VCL untuk Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Nilai ttl ""%1"" tidak valid. Silakan gunakan hanya angka yang sama atau lebih besar dari nol."
"Varnish Cache (Recommended)","Varnish Cache (Disarankan)"
"Unsupported varnish version","Versi pernis yang tidak didukung"
"Full Page Cache","Versi pernis yang tidak didukung"
"Caching Application","Aplikasi Caching"
"Varnish Configuration","Konfigurasi varnish"
"Access list","Daftar akses"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Daftar akses IP dipisahkan dengan ',' yang bisa membersihkan konfigurasi Varnish untuk pembuatan file konfigurasi.
                            Jika field kosong maka nilai default localhost akan tersimpan."
"Backend host","Host backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Tentukan host backend untuk pembuatan file konfigurasi. Jika field kosong maka nilai default localhost akan tersimpan."
"Backend port","Port backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Tentukan port backend untuk generasi file konfigurasi. Jika field kosong maka nilai default 8080 akan tersimpan."
"Grace period","Masa tenggang"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Tentukan masa tenggang dalam hitungan detik untuk pembuatan file konfigurasi. Jika kolom kosong maka nilai default 300 akan disimpan. Masa tenggang ini akan digunakan untuk menyajikan konten dalam cache bila servernya sehat. Jika server tidak sehat, konten cache akan dilayani selama 3 hari sebelum gagal."
"TTL for public content","TTL untuk konten publik"
"Page Cache","Halaman cache"
"Full page caching","Caching halaman penuh"
"We cannot retrieve the payment method model object.","Kami tidak dapat mengambil objek model metode pembayaran."
"We cannot retrieve the payment info model object.","Kami tidak dapat mengambil objek info pembayaran."
"Switch/Solo/Maestro Issue Number","Nomor Isu Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Tanggal Mulai Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Kami tidak dapat mengambil model metode metode pembayaran transparan."
"All Allowed Countries","Semua Negara yang Diizinkan"
"Specific Countries","Negara tertentu"
"The payment method you requested is not available.","Metode pembayaran yang Anda minta tidak tersedia."
"The payment disallows storing objects.","Pembayaran tidak mengizinkan menyimpan objek."
"We cannot retrieve the payment method code.","Kami tidak dapat mengambil kode metode pembayaran."
"We cannot retrieve the payment information object instance.","Kami tidak dapat mengambil contoh objek informasi pembayaran."
"You can't use the payment type you selected to make payments to the billing country.","Anda tidak dapat menggunakan jenis pembayaran yang Anda pilih untuk melakukan pembayaran ke negara penagihan."
"The order action is not available.","Tindakan pesanan tidak tersedia."
"The authorize action is not available.","Tindakan otorisasi tidak tersedia."
"The capture action is not available.","Tindakan pengambilan tidak tersedia."
"The refund action is not available.","Tindakan pengembalian dana tidak tersedia."
"The void action is not available.","Tindakan void tidak tersedia."
"The payment review action is unavailable.","Tindakan peninjauan pembayaran tidak tersedia."
"The credit card number doesn't match the credit card type.","Nomor kartu kredit tidak cocok dengan jenis kartu kredit."
"Invalid Credit Card Number","Nomor Kartu Kredit Tidak Valid"
"This credit card type is not allowed for this payment method.","Jenis kartu kredit ini tidak diizinkan untuk metode pembayaran ini."
"Please enter a valid credit card verification number.","Silakan masukkan nomor verifikasi kartu kredit yang valid."
"Please enter a valid credit card expiration date.","Silakan masukkan tanggal kadaluarsa kartu kredit yang berlaku."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1kelas tidak menerapkan \ Magento \ Payment \ Model \ MethodInterface"
No,Tak
"Failure #1","Kegagalan #1"
"Failure #2","Kegagalan #2"
" is not available. You still can process offline actions."," tidak tersedia. Anda masih bisa memproses tindakan offline."
"We'll ask for your payment details before you place an order.","Kami akan meminta rincian pembayaran Anda sebelum Anda memesan."
"Please enter a valid credit card type number.","Silakan masukkan nomor jenis kartu kredit yang valid."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Incorrect credit card expiration month.","Tanggal kadaluarsa kartu kredit salah."
"Incorrect credit card expiration year.","Tanggal kadaluarsa kartu kredit salah."
"Payment Methods Section","Bagian Metode Pembayaran"
"Payment Services","Layanan pembayaran"
"Billing Agreements","Perjanjian Penagihan"
"Reference ID","ID referensi"
"Billing Agreement #%1","Perjanjian Penagihan #%1"
"Related Orders","Pesanan terkait"
"Ship-to Name","Nama ""Dikirimkan kepada"""
"Billing Agreement View","Tampilan Perjanjian Penagihan"
"View Transaction Details","Lihat Rincian Transaksi"
"Reference Information","Informasi referensi"
"Transaction Information","Informasi transaksi"
"PayPal Fee Information","Informasi Biaya PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Kami terhubung ke server SFTP PayPal untuk mengambil laporan baru. Apakah anda yakin ingin melanjutkan?"
"Fetch Updates","Ambil Pembaruan"
sandbox_button_label,"label tombol sandbox"
Help,Membantu
"View Demo","Lihat Demo"
"See terms","Lihat istilah"
"You will be redirected to the PayPal website.","Anda akan diarahkan ke situs PayPal."
"You will be redirected to the PayPal website when you place an order.","Anda akan diarahkan ke situs PayPal saat Anda melakukan pemesanan."
"Invalid block type","Jenis blok tidak valid"
"Please specify the correct billing agreement ID and try again.","Silakan tentukan ID perjanjian penagihan yang benar dan coba lagi."
"You canceled the billing agreement.","Anda membatalkan perjanjian penagihan."
"We can't cancel the billing agreement.","Kami tidak dapat membatalkan perjanjian penagihan."
"You deleted the billing agreement.","Anda menghapus perjanjian penagihan."
"We can't delete the billing agreement.","Kami tidak dapat menghapus perjanjian penagihan."
"View Transaction","Lihat Transaksi"
"We found nothing to fetch because of an empty configuration.","Kami tidak menemukan apa-apa untuk diambil karena konfigurasi kosong."
"We fetched %1 report rows from ""%2@%3.""","Kami mengambil %1 baris laporan dari ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Kami tidak dapat mengambil laporan dari ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Perjanjian penagihan ""% 1"" telah dibatalkan."
"The billing agreement ""%1"" has been created.","Perjanjian penagihan ""%1"" telah dibuat."
"We couldn't finish the billing agreement wizard.","Kami tidak dapat menyelesaikan wizard perjanjian penagihan."
"We can't start the billing agreement wizard.","Kami tidak dapat memulai wizard perjanjian penagihan."
"Billing Agreement # %1","Perjanjian Penagihan # %1"
"We can't initialize Express Checkout.","Kami tidak dapat menginisialisasi Checkout Kilat."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal tidak dapat memproses pesanan dengan saldo nol. Untuk menyelesaikan pembelian Anda, silakan melalui proses checkout standar."
"PayPal Express Checkout Token does not exist.","Token Checkout PayPal Express tidak ada."
"A wrong PayPal Express Checkout Token is specified.","Token Checkout PayPal Express yang salah ditentukan."
"Express Checkout and Order have been canceled.","Checkout dan Order Ekspres telah dibatalkan."
"Express Checkout has been canceled.","Checkout Ekspres telah dibatalkan."
"Unable to cancel Express Checkout","Tidak dapat membatalkan Checkout Ekspres"
"We can't process Express Checkout approval.","Kami tidak dapat memproses persetujuan Express Checkout."
"We can't initialize Express Checkout review.","Kami tidak dapat menginisialisasi ulasan Express Checkout."
"We can't start Express Checkout.","Kami tidak dapat memulai Checkout Ekspres."
"To check out, please sign in with your email address.","Untuk check out, silahkan masuk dengan alamat email anda."
"Requested payment method does not match with order.","Metode pembayaran yang diminta tidak sesuai dengan pesanan."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Payment Gateway tidak terjangkau saat ini. Silakan gunakan opsi pembayaran lain."
"PayPal response hasn't required fields.","Respon PayPal tidak wajib diisi."
"Something went wrong while processing your order.","Ada yang tidak beres saat memproses pesanan Anda."
"PayPal gateway has rejected request. %1","Gateway PayPal menolak permintaan. %1"
"The PayPal gateway rejected the request. %1","Gateway PayPal menolak permintaan tersebut. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Saya mohon maaf - tapi kami tidak dapat memproses pembayaran Anda. Silakan coba metode pembayaran lain atau hubungi kami agar kami dapat membantu Anda."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Maafkan saya - tapi kami tidak dapat menyelesaikan transaksi Anda. Silahkan hubungi kami agar kami bisa membantu anda."
"A match of the Shipping Address City, State, and Postal Code failed.","Pertandingan dari Kota Alamat Pengiriman, Negara Bagian, dan Kode Pos gagal."
"We can't place the order.","Kami tidak bisa melakukan pemesanan."
"The payment method code is not set.","Kode metode pembayaran tidak disetel."
"The reference ID is not set.","ID referensi tidak diatur."
"Unable to save Billing Agreement:","Tidak dapat menyimpan Perjanjian Penagihan:"
"The customer ID is not set.","ID pelanggan tidak ditentukan."
"The Billing Agreement status is not set.","Status Perjanjian Penagihan tidak ditetapkan."
"The PayPal certificate does not exist.","Sertifikat PayPal tidak ada."
"We prefer PayPal (150 X 60)","Kami lebih memilih PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Kami lebih memilih PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Sekarang menerima PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Sekarang menerima PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pembayaran melalui PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pembayaran melalui PayPal (150 X 40)"
"Shop now using (150 X 60)","Belanja sekarang pakai (150 X 60)"
"Shop now using (150 X 40)","Belanja sekarang pakai (150 X 40)"
Shortcut,"Jalan pintas"
"Acceptance Mark Image","Tanda Terima"
Authorization,Otorisasi
Yes,Iya
"For Virtual Quotes Only","Hanya untuk Penawaran Khusus Virtual"
Auto,Mobil
"Ask Customer","Tanya pelanggan"
"IPN (Instant Payment Notification) Only","IPN (Pemberitahuan Pembayaran Instan) Saja"
"API Signature","Tanda tangan API"
"API Certificate","Sertifikat API"
"The maximum number of child authorizations is reached.","Jumlah maksimum otorisasi anak tercapai."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Kami akan mengotorisasi jumlah %1 segera setelah gerbang pembayaran menyetujuinya."
"The authorized amount is %1.","Jumlah yang diotorisasi adalah %1."
"A payer is not identified.","Pembayar tidak dikenali."
"Cannot get secure form URL from PayPal","Tidak bisa mendapatkan URL formulir aman dari PayPal"
"Last Transaction ID","ID Transaksi terakhir"
"This customer didn't include a confirmed address.","Pelanggan ini tidak menyertakan alamat yang telah dikonfirmasi."
"The payment is authorized but not settled.","Pembayaran itu diotorisasi namun tidak diselesaikan."
"The payment eCheck is not cleared.","Pembayaran eCheck tidak dihapus."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Pedagang memegang akun non-A.S. dan tidak memiliki mekanisme penarikan."
"The payment currency doesn't match any of the merchant's balances currency.","Mata uang pembayaran tidak cocok dengan apapun dari saldo mata uang pedagang."
"The payment is pending while it is being reviewed by PayPal for risk.","Pembayaran tertunda saat sedang ditinjau oleh PayPal karena risiko."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Pembayaran sudah tertunda karena dibuat ke alamat email yang belum terdaftar atau dikonfirmasi."
"The merchant account is not yet verified.","Akun pedagang belum diverifikasi."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Pembayaran dilakukan melalui kartu kredit. Agar bisa menerima dana merchant harus meng-upgrade akun menjadi Business atau Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Maaf, tapi ada yang tidak beres. Silahkan hubungi layanan pelanggan PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Pembalikan terjadi pada transaksi ini karena tolak bayar oleh pelanggan Anda."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Sebuah pembalikan telah terjadi pada transaksi ini karena pelanggan Anda memicu garansi uang kembali."
